Time;Pos_x;Pos_y;Pos_z;Vel_x;Vel_y;Vel_z;Vel_norm;Acc_x;Acc_y;Acc_z;Acc_norm;Thrust;Omg_x;Omg_y;Omg_z;Omg_norm;Alpha;Quat_w;Quat_x;Quat_y;Quat_z;Yaw;Pitch;Roll
0.38;4.48341;0.0558109;1.48978;-0.13559;0.399937;-0.0705216;0.428144;-0.755855;1.69173;-0.268953;1.87233;9.70949;2.57982e-18;-0.175309;-0.0797933;0.192614;0;0.706186;-0.0896416;0.0339193;0.701294;89.9826;-4.53298;10.0328
0.4;4.48054;0.0641497;1.48831;-0.151156;0.43403;-0.0758897;0.465821;-0.800773;1.71667;-0.267651;1.91307;9.71874;-1.1334e-18;-0.177487;-0.0844109;0.196537;0;0.706223;-0.0921337;0.0331313;0.700971;89.9826;-4.80048;10.1724
0.42;4.47736;0.0731751;1.48674;-0.167622;0.468567;-0.0812193;0.504231;-0.845827;1.73612;-0.265108;1.94932;9.72852;0.41694;-0.230704;-0.0233793;0.477085;87.6484;0.572219;-0.0890069;0.0494029;0.813573;109.868;-1.23066;11.6239
0.44;4.47383;0.0828947;1.48506;-0.184989;0.503439;-0.0864861;0.543279;-0.890965;1.75021;-0.26137;1.98126;9.73874;0.425043;-0.236373;-0.0258063;0.487031;87.3294;0.568589;-0.0913228;0.0491827;0.815871;110.378;-1.35214;11.8341
0.46;4.46995;0.0933142;1.48328;-0.20326;0.538541;-0.0916665;0.582875;-0.936132;1.75907;-0.25648;2.00909;9.74936;0.43331;-0.241576;-0.0283659;0.496912;87.0313;0.564892;-0.0935039;0.0487783;0.818213;110.897;-1.47938;12.0209
0.48;4.46569;0.104437;1.4814;-0.222434;0.573768;-0.0967379;0.622933;-0.981275;1.76283;-0.250481;2.03303;9.76035;0.441743;-0.246315;-0.0310592;0.506727;86.7529;0.561125;-0.0955551;0.048196;0.820599;111.427;-1.61238;12.1854
0.5;4.46105;0.116265;1.47941;-0.242511;0.609021;-0.101679;0.663367;-1.02634;1.76161;-0.243418;2.05327;9.77167;0.450341;-0.250591;-0.033887;0.516479;86.4934;0.557286;-0.0974815;0.047442;0.823029;111.968;-1.75112;12.3285
0.52;4.45599;0.128797;1.47733;-0.263487;0.6442;-0.106468;0.704099;-1.07127;1.75556;-0.235333;2.07002;9.78329;0.459105;-0.254408;-0.0368502;0.526174;86.2514;0.553372;-0.099288;0.0465222;0.825503;112.519;-1.89558;12.4514
0.54;4.4505;0.142032;1.47516;-0.28536;0.679212;-0.111085;0.74505;-1.11602;1.7448;-0.226271;2.08351;9.79521;0.468036;-0.257768;-0.0399493;0.535815;86.0261;0.54938;-0.100979;0.0454428;0.82802;113.082;-2.04573;12.555
0.56;4.44457;0.155964;1.47289;-0.308126;0.713962;-0.115512;0.786147;-1.16053;1.72946;-0.216275;2.09396;9.8074;0.477134;-0.260675;-0.0431844;0.545411;85.8164;0.545308;-0.10256;0.0442095;0.83058;113.655;-2.20154;12.6402
0.58;4.43817;0.170588;1.47054;-0.33178;0.748361;-0.11973;0.827319;-1.20474;1.70968;-0.20539;2.10157;9.81987;0.486398;-0.263135;-0.0465557;0.554969;85.6212;0.541154;-0.104034;0.0428281;0.833183;114.24;-2.36297;12.7079
0.6;4.43129;0.185896;1.4681;-0.356314;0.78232;-0.123722;0.8685;-1.24861;1.68558;-0.193658;2.10659;9.83259;0.49583;-0.265152;-0.0500629;0.564499;85.4397;0.536913;-0.105407;0.0413043;0.835826;114.836;-2.52999;12.7592
0.62;4.42391;0.201877;1.46559;-0.381721;0.815756;-0.127471;0.909625;-1.29208;1.6573;-0.181124;2.10925;9.84559;0.505428;-0.266734;-0.0537054;0.574011;85.2707;0.532583;-0.106681;0.0396435;0.838511;115.444;-2.70254;12.7949
0.64;4.41602;0.218522;1.46301;-0.407994;0.848585;-0.130962;0.950635;-1.33509;1.62497;-0.167831;2.10978;9.85884;0.515192;-0.267889;-0.0574824;0.583516;85.1134;0.528162;-0.107862;0.0378512;0.841235;116.063;-2.88056;12.816
0.66;4.40759;0.235816;1.46035;-0.435122;0.880729;-0.13418;0.991473;-1.3776;1.58871;-0.153824;2.10842;9.87238;0.525121;-0.268624;-0.0613926;0.593026;84.9669;0.523646;-0.108953;0.0359328;0.843997;116.695;-3.06399;12.8232
0.68;4.39861;0.253746;1.45764;-0.463094;0.912109;-0.137111;1.03208;-1.41954;1.54866;-0.139145;2.10542;9.88619;0.535213;-0.268951;-0.0654345;0.602552;84.8301;0.519032;-0.109957;0.0338936;0.846797;117.339;-3.25275;12.8175
0.7;4.38906;0.272295;1.45487;-0.491899;0.942651;-0.139742;1.07242;-1.46086;1.50495;-0.123838;2.10103;9.90028;0.545466;-0.26888;-0.0696064;0.612107;84.7021;0.514317;-0.110879;0.0317389;0.849632;117.995;-3.44678;12.7997
0.72;4.37892;0.291446;1.45205;-0.521524;0.972283;-0.14206;1.11243;-1.50152;1.45771;-0.107948;2.0955;9.91468;0.555878;-0.268423;-0.0739059;0.621702;84.5821;0.509498;-0.111721;0.0294738;0.852502;118.664;-3.64596;12.7706
0.74;4.36819;0.31118;1.44919;-0.551955;1.00094;-0.144056;1.15208;-1.54145;1.40707;-0.0915179;2.08909;9.92938;0.566445;-0.267595;-0.0783305;0.63135;84.4692;0.504572;-0.112488;0.0271035;0.855405;119.345;-3.85022;12.7311
0.76;4.35684;0.331476;1.44629;-0.583177;1.02854;-0.145718;1.19132;-1.58061;1.35317;-0.0745913;2.08205;9.9444;0.577163;-0.26641;-0.0828772;0.641062;84.3625;0.499536;-0.113182;0.0246331;0.858338;120.039;-4.05943;12.682
0.78;4.34486;0.352314;1.44336;-0.615174;1.05504;-0.147037;1.23011;-1.61893;1.29612;-0.0572122;2.07464;9.95974;0.588028;-0.264883;-0.0875428;0.650848;84.2611;0.494388;-0.113808;0.0220677;0.861301;120.746;-4.27348;12.6241
0.8;4.33223;0.37367;1.44041;-0.647928;1.08037;-0.148004;1.26843;-1.65637;1.23607;-0.0394241;2.06712;9.97542;0.599033;-0.263032;-0.0923235;0.660719;84.1641;0.489125;-0.114367;0.0194123;0.864291;121.467;-4.49223;12.5581
0.82;4.31894;0.395521;1.43745;-0.681423;1.10447;-0.148611;1.30624;-1.69287;1.17315;-0.021271;2.05975;9.99145;0.610172;-0.260874;-0.0972152;0.670683;84.0709;0.483743;-0.114862;0.0166719;0.867306;122.2;-4.71556;12.4849
0.84;4.30497;0.41784;1.43447;-0.715637;1.12728;-0.148852;1.34352;-1.72838;1.10748;-0.0027964;2.05276;10.0078;0.621438;-0.258428;-0.102214;0.680748;83.9804;0.47824;-0.115298;0.0138516;0.870344;122.947;-4.94329;12.4052
0.86;4.29031;0.440603;1.4315;-0.750551;1.14875;-0.148721;1.38024;-1.76285;1.03919;0.0159559;2.04641;10.0245;0.632821;-0.255713;-0.107314;0.690918;83.892;0.472614;-0.115676;0.0109564;0.873403;123.707;-5.17528;12.3198
0.88;4.27494;0.463781;1.42853;-0.786143;1.16883;-0.148212;1.41639;-1.79621;0.96843;0.0349421;2.04094;10.0416;0.644313;-0.25275;-0.11251;0.7012;83.8048;0.466863;-0.116;0.00799111;0.87648;124.481;-5.41134;12.2294
0.9;4.25886;0.487346;1.42557;-0.822392;1.18747;-0.147322;1.45193;-1.82842;0.895313;0.0541185;2.03657;10.0591;0.655902;-0.249561;-0.117798;0.711593;83.7181;0.460984;-0.116273;0.00496086;0.879573;125.269;-5.65128;12.1348
0.92;4.24204;0.51127;1.42263;-0.859272;1.20463;-0.146047;1.48688;-1.85942;0.819975;0.0734414;2.03352;10.0769;0.667577;-0.246166;-0.123171;0.7221;83.6311;0.454974;-0.116496;0.00187056;0.882679;126.071;-5.89489;12.0366
0.94;4.22448;0.535521;1.41973;-0.89676;1.22025;-0.144384;1.5212;-1.88916;0.742547;0.0928672;2.03198;10.095;0.679324;-0.242589;-0.128623;0.732717;83.543;0.448833;-0.116673;-0.00127486;0.885795;126.886;-6.14198;11.9356
0.96;4.20617;0.56007;1.41686;-0.93483;1.23431;-0.142332;1.55489;-1.91759;0.66316;0.112352;2.03213;10.1135;0.691128;-0.23885;-0.134148;0.74344;83.4531;0.442559;-0.116806;-0.00447046;0.888919;127.716;-6.39229;11.8326
0.98;4.18708;0.584883;1.41404;-0.973454;1.24677;-0.13989;1.58796;-1.94464;0.581946;0.131852;2.03413;10.1323;0.702975;-0.234974;-0.139739;0.754264;83.3608;0.436149;-0.116897;-0.00771132;0.892047;128.559;-6.6456;11.728
1;4.16722;0.609929;1.41127;-1.01261;1.25758;-0.137058;1.62039;-1.97028;0.499034;0.151324;2.03812;10.1514;0.714846;-0.230983;-0.145388;0.765177;83.2654;0.429603;-0.116949;-0.0109926;0.895177;129.416;-6.90164;11.6228
1.02;4.14658;0.635175;1.40856;-1.05226;1.26672;-0.133837;1.65219;-1.99443;0.414555;0.170723;2.0442;10.1709;0.726725;-0.2269;-0.151088;0.77617;83.1662;0.422919;-0.116965;-0.0143093;0.898305;130.288;-7.16014;11.5174
1.04;4.12513;0.660587;1.40592;-1.09237;1.27415;-0.13023;1.68336;-2.01706;0.328642;0.190007;2.05247;10.1906;0.738591;-0.222747;-0.156832;0.787229;83.0626;0.416098;-0.116947;-0.0176567;0.901428;131.174;-7.42082;11.4125
1.06;4.10288;0.68613;1.40335;-1.13293;1.27986;-0.126238;1.71391;-2.0381;0.241423;0.209131;2.06298;10.2105;0.750423;-0.218547;-0.162613;0.798336;82.9541;0.409137;-0.116896;-0.02103;0.904543;132.073;-7.68339;11.3087
1.08;4.07981;0.711769;1.40087;-1.17389;1.2838;-0.121866;1.74385;-2.05751;0.153032;0.228052;2.07576;10.2307;0.762201;-0.21432;-0.168422;0.809474;82.8401;0.402037;-0.116814;-0.0244244;0.907646;132.987;-7.94752;11.2066
1.1;4.05592;0.73747;1.39848;-1.21522;1.28597;-0.117117;1.77319;-2.07522;0.0635971;0.246725;2.0908;10.2511;0.7739;-0.210089;-0.174251;0.820623;82.7201;0.394798;-0.116705;-0.0278351;0.910735;133.915;-8.2129;11.1068
1.12;4.0312;0.763196;1.39619;-1.25688;1.28634;-0.111999;1.80194;-2.09119;-0.0267493;0.265108;2.1081;10.2716;0.785497;-0.205874;-0.180093;0.831759;82.5936;0.38742;-0.116569;-0.0312576;0.913804;134.856;-8.4792;11.0098
1.14;4.00564;0.788911;1.394;-1.29885;1.2849;-0.106515;1.83011;-2.10536;-0.117877;0.283157;2.12758;10.2922;0.796967;-0.201694;-0.185939;0.842858;82.4603;0.379903;-0.116409;-0.0346872;0.916852;135.811;-8.74606;10.9161
1.16;3.97924;0.81458;1.39193;-1.34109;1.28162;-0.100675;1.85774;-2.11767;-0.209654;0.300827;2.14919;10.3129;0.808284;-0.197567;-0.191781;0.853895;82.3197;0.372249;-0.116225;-0.0381195;0.919874;136.78;-9.01314;10.8261
1.18;3.952;0.840164;1.38998;-1.38355;1.27651;-0.0944851;1.88483;-2.12808;-0.30195;0.318075;2.17281;10.3336;0.819423;-0.193511;-0.197611;0.864841;82.1717;0.364458;-0.11602;-0.04155;0.922866;137.763;-9.28005;10.7404
1.2;3.9239;0.865628;1.38815;-1.4262;1.26954;-0.087955;1.91141;-2.13653;-0.394635;0.334857;2.19833;10.3543;0.830355;-0.189542;-0.203421;0.875669;82.0158;0.356532;-0.115794;-0.0449743;0.925825;138.758;-9.54643;10.6592
1.22;3.89495;0.890933;1.38646;-1.46899;1.26072;-0.0810942;1.93751;-2.14297;-0.487577;0.351131;2.22561;10.3749;0.841054;-0.185675;-0.209203;0.886348;81.8519;0.348472;-0.115549;-0.0483882;0.928748;139.767;-9.81188;10.583
1.24;3.86514;0.916044;1.38491;-1.5119;1.25004;-0.0739135;1.96313;-2.14733;-0.580645;0.366851;2.2545;10.3954;0.851491;-0.181922;-0.21495;0.896848;81.68;0.34028;-0.115287;-0.0517876;0.93163;140.789;-10.076;10.5121
1.26;3.83447;0.940922;1.38351;-1.55487;1.23749;-0.0664242;1.98832;-2.14958;-0.673709;0.381974;2.28484;10.4156;0.86164;-0.178296;-0.220653;0.907139;81.4999;0.331959;-0.115006;-0.0551684;0.934468;141.823;-10.3385;10.4467
1.28;3.80295;0.965531;1.38226;-1.59787;1.22309;-0.0586388;2.0131;-2.14965;-0.766638;0.396456;2.31644;10.4356;0.871474;-0.174806;-0.226306;0.91719;81.3117;0.323512;-0.114709;-0.0585268;0.937259;142.87;-10.5988;10.387
1.3;3.77056;0.989834;1.38116;-1.64084;1.20683;-0.0505705;2.03749;-2.14749;-0.8593;0.410254;2.34913;10.4552;0.880964;-0.17146;-0.231901;0.926971;81.1154;0.31494;-0.114396;-0.0618591;0.939999;143.928;-10.8567;10.3334
